time_s,altitude_km,velocity_ms,mach,heat_flux_Wm2
7.140489786288988228e+00,1.147986996749187227e+02,7.599937587578201601e+03,2.772671675338017394e+01,1.744917237071841009e+04
7.174819145623335004e+00,1.147736934233558372e+02,7.599937370438251492e+03,2.772671596119236881e+01,1.747876741964335815e+04
7.209148505938535401e+00,1.147486871717929517e+02,7.599937152542847798e+03,2.772671516624845367e+01,1.750841277547276331e+04
7.243477867237982259e+00,1.147236809202300520e+02,7.599936933889365719e+03,2.772671436853885396e+01,1.753810851710845600e+04
7.277807229525079080e+00,1.146986746686671665e+02,7.599936714475166809e+03,2.772671356805394538e+01,1.756785472363648296e+04
7.312136592803303081e+00,1.146736684171042668e+02,7.599936494297603531e+03,2.772671276478406810e+01,1.759765147432650338e+04
7.346465957076062203e+00,1.146486621655413956e+02,7.599936273354020159e+03,2.772671195871953387e+01,1.762749884863110128e+04
7.380795322346856757e+00,1.146236559139784958e+02,7.599936051641751874e+03,2.772671114985061891e+01,1.765739692618534900e+04
7.415124688619139093e+00,1.145986496624155961e+02,7.599935829158125671e+03,2.772671033816757458e+01,1.768734578680605046e+04
7.449454055896373106e+00,1.145736434108527106e+02,7.599935605900455812e+03,2.772670952366059893e+01,1.771734551049122092e+04
7.483783424182095523e+00,1.145486371592898251e+02,7.599935381866051102e+03,2.772670870631987583e+01,1.774739617741973416e+04
7.518112793479795108e+00,1.145236309077269254e+02,7.599935157052208524e+03,2.772670788613554294e+01,1.777749786795053296e+04
7.552442163792972174e+00,1.144986246561640399e+02,7.599934931456215963e+03,2.772670706309770949e+01,1.780765066262233086e+04
7.586771535125199861e+00,1.144736184046011545e+02,7.599934705075353122e+03,2.772670623719644212e+01,1.783785464215302272e+04
7.621100907479983810e+00,1.144486121530382690e+02,7.599934477906887878e+03,2.772670540842178255e+01,1.786810988743923735e+04
7.655430280860922032e+00,1.144236059014753693e+02,7.599934249948081742e+03,2.772670457676373701e+01,1.789841647955592998e+04
7.689759655271563688e+00,1.143985996499124695e+02,7.599934021196184403e+03,2.772670374221226908e+01,1.792877449975587297e+04
7.724089030715472148e+00,1.143735933983495983e+02,7.599933791648437364e+03,2.772670290475731747e+01,1.795918402946922288e+04
7.758418407196282729e+00,1.143485871467866986e+02,7.599933561302070302e+03,2.772670206438877472e+01,1.798964515030320399e+04
7.792747784717581894e+00,1.143235808952237988e+02,7.599933330154306532e+03,2.772670122109651203e+01,1.802015794404161716e+04
7.827077163282970318e+00,1.142985746436609134e+02,7.599933098202356632e+03,2.772670037487035088e+01,1.805072249264447964e+04
